Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2, Feature 1 Missing , Feature 2 Missing 
tot_cur_bal,total_il_high_credit_limit,42.93%,42.93%,5.24%,1.21%, 3.33 , 3.33 
bc_open_to_buy,num_bc_tl,42.84%,42.84%,8.08%,1.56%, 3.40 , 3.33 
open_il_24m,num_tl_op_past_12m,42.75%,42.75%,6.07%,7.72%, 40.42 , 3.33 
total_rev_hi_lim,num_bc_tl,42.71%,42.71%,5.74%,1.56%, 3.33 , 3.33 
inq_last_6mths,open_acc_6m,42.52%,42.52%,7.88%,6.07%, 0.00 , 40.42 
tot_hi_cred_lim,total_il_high_credit_limit,42.47%,42.47%,6.20%,1.21%, 3.33 , 3.33 
total_acc,total_il_high_credit_limit,42.22%,42.22%,1.58%,1.21%, 0.00 , 3.33 
total_rev_hi_lim,num_sats,41.97%,41.97%,5.74%,1.84%, 3.33 , 2.77 
open_acc,total_rev_hi_lim,41.95%,41.95%,1.78%,5.74%, 0.00 , 3.33 
tot_cur_bal,total_rev_hi_lim,41.85%,41.85%,5.24%,5.74%, 3.33 , 3.33 
total_acc,num_rev_tl_bal_gt_0,41.62%,41.62%,1.58%,5.06%, 0.00 , 3.33 
total_acc,num_actv_rev_tl,41.60%,41.60%,1.58%,5.07%, 0.00 , 3.33 
total_acc,total_bal_il,41.25%,41.25%,1.58%,0.20%, 0.00 , 40.42 
total_rev_hi_lim,num_rev_accts,41.25%,41.25%,5.74%,2.22%, 3.33 , 3.33 
initial_list_status,year_issued,41.23%,41.23%,6.85%,14.60%, - , - 
acc_open_past_24mths,mo_sin_rcnt_rev_tl_op,-41.14%,41.14%,8.87%,5.12%, 2.36 , 3.33 
tot_cur_bal,total_bal_il,41.10%,41.10%,5.24%,0.20%, 3.33 , 40.42 
mo_sin_rcnt_rev_tl_op,num_tl_op_past_12m,-40.95%,40.95%,5.12%,7.72%, 3.33 , 3.33 
total_acc,num_bc_sats,40.92%,40.92%,1.58%,0.43%, 0.00 , 2.77 
open_rv_24m,num_bc_sats,40.52%,40.52%,6.91%,0.43%, 40.42 , 2.77 
inq_last_12m,acc_open_past_24mths,40.45%,40.45%,6.37%,8.87%, 40.42 , 2.36 
tot_hi_cred_lim,total_bc_limit,40.35%,40.35%,6.20%,7.27%, 3.33 , 2.36 
open_rv_12m,mo_sin_rcnt_tl,-40.14%,40.14%,5.27%,5.35%, 40.42 , 3.33 
acc_open_past_24mths,num_rev_accts,39.75%,39.75%,8.87%,2.22%, 2.36 , 3.33 
num_sats,total_bal_ex_mort,39.70%,39.70%,1.84%,1.03%, 2.77 , 2.36 
num_il_tl,num_sats,39.69%,39.69%,1.03%,1.84%, 3.33 , 2.77 
open_acc,total_bal_ex_mort,39.66%,39.66%,1.78%,1.03%, 0.00 , 2.36 
open_acc,num_il_tl,39.62%,39.62%,1.78%,1.03%, 0.00 , 3.33 
total_acc,open_act_il,39.54%,39.54%,1.58%,0.89%, 0.00 , 40.42 
term,sub_grade,39.40%,39.40%,9.11%,22.50%, - , - 
loan_amnt,term,39.16%,39.16%,2.68%,9.11%, - , - 
funded_amnt_inv,term,39.15%,39.15%,2.64%,9.11%, - , - 
funded_amnt,term,39.12%,39.12%,2.68%,9.11%, - , - 
open_rv_24m,mths_since_recent_bc,-39.11%,39.11%,6.91%,4.36%, 40.42 , 3.34 
total_rev_hi_lim,num_actv_bc_tl,38.87%,38.87%,5.74%,2.34%, 3.33 , 3.33 
num_sats,total_bc_limit,38.82%,38.82%,1.84%,7.27%, 2.77 , 2.36 
term,grade,38.74%,38.74%,9.11%,22.19%, - , - 
open_acc,total_bc_limit,38.67%,38.67%,1.78%,7.27%, 0.00 , 2.36 
desc,year_issued,38.49%,38.49%,1.96%,14.60%, 94.16 , - 
open_acc_6m,open_il_12m,38.48%,38.48%,6.07%,6.05%, 40.42 , 40.42 
open_il_24m,inq_fi,38.47%,38.47%,6.07%,3.68%, 40.42 , 40.42 
funded_amnt_inv,max_bal_bc,38.36%,38.36%,2.64%,3.23%, - , 40.42 
loan_amnt,max_bal_bc,38.35%,38.35%,2.68%,3.23%, - , 40.42 
funded_amnt,max_bal_bc,38.35%,38.35%,2.68%,3.23%, - , 40.42 
mo_sin_rcnt_tl,mths_since_recent_bc,38.03%,38.03%,5.35%,4.36%, 3.33 , 3.34 
open_rv_24m,num_bc_tl,37.76%,37.76%,6.91%,1.56%, 40.42 , 3.33 
term,int_rate,37.69%,37.69%,9.11%,19.85%, - , - 
funded_amnt_inv,total_bc_limit,37.68%,37.68%,2.64%,7.27%, - , 2.36 
funded_amnt,total_bc_limit,37.67%,37.67%,2.68%,7.27%, - , 2.36 
loan_amnt,total_bc_limit,37.67%,37.67%,2.68%,7.27%, - , 2.36 
bc_open_to_buy,num_op_rev_tl,37.66%,37.66%,8.08%,2.36%, 3.40 , 3.33 
total_bal_il,tot_hi_cred_lim,37.55%,37.55%,0.20%,6.20%, 40.42 , 3.33 
annual_inc,tot_hi_cred_lim,37.54%,37.54%,3.54%,6.20%, - , 3.33 
num_rev_accts,total_bc_limit,37.49%,37.49%,2.22%,7.27%, 3.33 , 2.36 
open_il_24m,total_il_high_credit_limit,37.48%,37.48%,6.07%,1.21%, 40.42 , 3.33 
open_acc,num_tl_op_past_12m,37.22%,37.22%,1.78%,7.72%, 0.00 , 3.33 
num_sats,num_tl_op_past_12m,37.05%,37.05%,1.84%,7.72%, 2.77 , 3.33 
open_rv_12m,num_rev_accts,37.00%,37.00%,5.27%,2.22%, 40.42 , 3.33 
total_acc,mort_acc,36.90%,36.90%,1.58%,3.24%, 0.00 , 2.36 
open_il_24m,total_bal_il,36.60%,36.60%,6.07%,0.20%, 40.42 , 40.42 
num_sats,total_il_high_credit_limit,36.52%,36.52%,1.84%,1.21%, 2.77 , 3.33 
open_rv_24m,mo_sin_rcnt_tl,-36.49%,36.49%,6.91%,5.35%, 40.42 , 3.33 
open_acc,total_il_high_credit_limit,36.45%,36.45%,1.78%,1.21%, 0.00 , 3.33 
installment,max_bal_bc,36.42%,36.42%,3.00%,3.23%, - , 40.42 
open_act_il,open_il_24m,36.36%,36.36%,0.89%,6.07%, 40.42 , 40.42 
open_acc_6m,mo_sin_rcnt_rev_tl_op,-36.20%,36.20%,6.07%,5.12%, 40.42 , 3.33 
annual_inc,tot_cur_bal,36.14%,36.14%,3.54%,5.24%, - , 3.33 
total_rev_hi_lim,num_actv_rev_tl,36.12%,36.12%,5.74%,5.07%, 3.33 , 3.33 
open_il_12m,inq_last_12m,36.05%,36.05%,6.05%,6.37%, 40.42 , 40.42 
total_rev_hi_lim,num_rev_tl_bal_gt_0,35.99%,35.99%,5.74%,5.06%, 3.33 , 3.33 
max_bal_bc,tot_hi_cred_lim,35.97%,35.97%,3.23%,6.20%, 40.42 , 3.33 
open_act_il,all_util,35.83%,35.83%,0.89%,7.38%, 40.42 , 40.43 
mo_sin_old_rev_tl_op,num_rev_accts,35.70%,35.70%,3.56%,2.22%, 3.33 , 3.33 
num_op_rev_tl,num_tl_op_past_12m,35.68%,35.68%,2.36%,7.72%, 3.33 , 3.33 
open_acc,open_rv_12m,35.66%,35.66%,1.78%,5.27%, 0.00 , 40.42 
open_rv_12m,mths_since_recent_bc,-35.65%,35.65%,5.27%,4.36%, 40.42 , 3.34 
total_acc,open_il_24m,35.55%,35.55%,1.58%,6.07%, 0.00 , 40.42 
open_rv_12m,num_sats,35.47%,35.47%,5.27%,1.84%, 40.42 , 2.77 
funded_amnt_inv,total_rev_hi_lim,35.04%,35.04%,2.64%,5.74%, - , 3.33 
funded_amnt,total_rev_hi_lim,35.04%,35.04%,2.68%,5.74%, - , 3.33 
loan_amnt,total_rev_hi_lim,35.04%,35.04%,2.68%,5.74%, - , 3.33 
mo_sin_old_il_acct,num_il_tl,34.96%,34.96%,2.12%,1.03%, 6.37 , 3.33 
max_bal_bc,total_bal_ex_mort,34.88%,34.88%,3.23%,1.03%, 40.42 , 2.36 
open_rv_12m,num_actv_rev_tl,34.66%,34.66%,5.27%,5.07%, 40.42 , 3.33 
acc_open_past_24mths,num_actv_rev_tl,34.66%,34.66%,8.87%,5.07%, 2.36 , 3.33 
total_acc,tot_hi_cred_lim,34.52%,34.52%,1.58%,6.20%, 0.00 , 3.33 
tot_cur_bal,max_bal_bc,34.51%,34.51%,5.24%,3.23%, 3.33 , 40.42 
total_bal_il,num_sats,34.23%,34.23%,0.20%,1.84%, 40.42 , 2.77 
mths_since_rcnt_il,mo_sin_rcnt_tl,34.15%,34.15%,3.24%,5.35%, 42.30 , 3.33 
open_acc,total_bal_il,34.12%,34.12%,1.78%,0.20%, 0.00 , 40.42 
total_acc,mo_sin_old_il_acct,34.06%,34.06%,1.58%,2.12%, 0.00 , 6.37 
acc_open_past_24mths,mths_since_recent_bc,-34.04%,34.04%,8.87%,4.36%, 2.36 , 3.34 
installment,total_bc_limit,33.99%,33.99%,3.00%,7.27%, - , 2.36 
acc_open_past_24mths,num_rev_tl_bal_gt_0,33.91%,33.91%,8.87%,5.06%, 2.36 , 3.33 
open_il_12m,num_il_tl,33.78%,33.78%,6.05%,1.03%, 40.42 , 3.33 
open_il_12m,il_util,33.73%,33.73%,6.05%,5.89%, 40.42 , 48.95 
total_acc,total_rev_hi_lim,33.71%,33.71%,1.58%,5.74%, 0.00 , 3.33 
open_rv_12m,num_rev_tl_bal_gt_0,33.58%,33.58%,5.27%,5.06%, 40.42 , 3.33 
total_acc,num_tl_op_past_12m,33.54%,33.54%,1.58%,7.72%, 0.00 , 3.33 
revol_util,max_bal_bc,33.24%,33.24%,6.95%,3.23%, 0.08 , 40.42 
dti,total_il_high_credit_limit,33.15%,33.15%,7.83%,1.21%, - , 3.33 
funded_amnt_inv,tot_hi_cred_lim,33.13%,33.13%,2.64%,6.20%, - , 3.33 
funded_amnt,tot_hi_cred_lim,33.12%,33.12%,2.68%,6.20%, - , 3.33 
loan_amnt,tot_hi_cred_lim,33.12%,33.12%,2.68%,6.20%, - , 3.33 
open_rv_24m,num_actv_bc_tl,32.91%,32.91%,6.91%,2.34%, 40.42 , 3.33 
inq_last_6mths,num_tl_op_past_12m,32.83%,32.83%,7.88%,7.72%, 0.00 , 3.33 
inq_last_6mths,open_rv_12m,32.69%,32.69%,7.88%,5.27%, 0.00 , 40.42 
bc_open_to_buy,num_sats,32.23%,32.23%,8.08%,1.84%, 3.40 , 2.77 
bc_open_to_buy,num_rev_accts,32.05%,32.05%,8.08%,2.22%, 3.40 , 3.33 
total_acc,tot_cur_bal,31.99%,31.99%,1.58%,5.24%, 0.00 , 3.33 
num_accts_ever_120_pd,num_tl_90g_dpd_24m,31.95%,31.95%,0.85%,1.22%, 3.33 , 3.33 
open_acc,bc_open_to_buy,31.94%,31.94%,1.78%,8.08%, 0.00 , 3.40 
installment,total_rev_hi_lim,31.90%,31.90%,3.00%,5.74%, - , 3.33 
open_acc_6m,inq_last_12m,31.88%,31.88%,6.07%,6.37%, 40.42 , 40.42 
open_rv_12m,num_bc_sats,31.87%,31.87%,5.27%,0.43%, 40.42 , 2.77 
mths_since_rcnt_il,il_util,-31.72%,31.72%,3.24%,5.89%, 42.30 , 48.95 
loan_amnt,revol_bal,31.67%,31.67%,2.68%,1.79%, - , - 
